Rk.,Team,Venue,Year,Park Factor,wOBACon,xwOBACon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Rockies,Coors Field,2023-2025,112,112,102,112,103,101,125,111,116,115,116,205,106,102,92,37636
2,Red Sox,Fenway Park,2023-2025,106,107,100,108,100,101,112,106,108,107,125,95,92,97,98,37774
3,Reds,Great American Ball Park,2023-2025,103,104,98,101,98,95,106,101,100,96,99,76,127,102,102,37669
4,Royals,Kauffman Stadium,2023-2025,103,100,103,101,103,104,106,104,105,105,116,181,85,101,88,38319
5,D-backs,Chase Field,2023-2025,103,102,99,103,101,102,106,103,106,104,116,191,86,99,94,39717
6,Marlins,loanDepot park,2023-2025,102,102,101,103,101,100,104,103,105,106,108,106,92,97,98,38703
7,Twins,Target Field,2023-2025,102,105,101,104,99,100,104,101,101,97,110,112,108,100,107,37593
8,Yankees,Yankee Stadium,2023-2025,101,101,104,97,102,104,102,100,95,91,91,46,125,111,102,39641
9,Angels,Angel Stadium,2023-2025,101,101,100,100,99,98,102,100,98,98,87,95,112,105,105,36397
10,Braves,Truist Park,2023-2025,101,104,104,104,103,104,102,101,102,104,96,103,103,98,107,37645
11,Nationals,Nationals Park,2023-2025,101,98,100,100,101,99,102,102,104,108,97,91,96,95,88,37453
12,Cardinals,Busch Stadium,2023-2025,100,98,101,100,102,101,100,101,103,106,102,98,90,98,91,37786
13,Phillies,Citizens Bank Park,2023-2025,100,101,98,99,98,99,100,98,99,97,95,97,112,97,102,38455
14,Pirates,PNC Park,2023-2025,100,98,101,101,101,103,100,102,101,103,114,78,80,101,96,37873
15,Astros,Daikin Park,2023-2025,100,100,99,100,99,98,100,100,100,100,98,86,102,102,99,38192
Rk.,Team,Venue,Year,Park Factor,wOBACon,xwOBACon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
16,Dodgers,Dodger Stadium,2023-2025,100,99,101,96,100,100,100,97,96,92,94,62,123,100,99,40175
17,Rangers,Globe Life Field,2023-2025,100,100,100,98,99,103,100,98,99,98,95,80,116,101,100,38650
18,Blue Jays,Rogers Centre,2023-2025,99,98,98,98,98,98,98,99,98,96,109,70,98,99,99,37166
19,Orioles,Oriole Park at Camden Yards,2023-2025,99,99,102,100,101,105,98,99,103,106,95,127,97,90,99,37133
20,White Sox,Rate Field,2023-2025,98,98,97,99,98,95,96,99,98,102,91,66,96,102,101,38751
21,Padres,Petco Park,2023-2025,98,98,100,97,99,99,96,98,97,97,96,55,106,100,101,38967
22,Tigers,Comerica Park,2023-2025,98,97,98,98,99,99,96,98,98,100,92,140,91,98,98,36886
23,Mets,Citi Field,2023-2025,98,96,99,95,98,100,96,99,91,90,89,75,103,115,104,38731
24,Guardians,Progressive Field,2023-2025,97,97,98,98,100,97,94,98,99,98,115,77,83,99,99,37028
25,Brewers,American Family Field,2023-2025,97,99,99,98,100,98,94,96,94,94,84,89,108,105,111,38439
26,Cubs,Wrigley Field,2023-2025,96,96,99,97,99,98,92,98,96,100,86,115,92,102,103,36709
27,Giants,Oracle Park,2023-2025,95,95,97,97,98,102,90,96,100,103,102,131,80,86,97,36865
28,Mariners,T-Mobile Park,2023-2025,90,93,98,94,99,97,81,91,88,90,85,64,89,98,118,37240
